 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350440 AVANHANDAVA";-;-;-;1;-;2;-;1;1;-;-;1;6
"350450 AVARE";26;29;34;38;32;48;44;38;31;33;34;35;422
"350460 BADY BASSITT";1;-;3;-;3;2;1;2;2;2;4;1;21
"350470 BALBINOS";-;-;-;-;1;-;2;-;-;1;-;-;4
"350480 BALSAMO";2;2;2;1;1;2;1;2;1;1;3;2;20
"350490 BANANAL";-;1;-;1;1;4;2;3;1;5;4;-;22
"350500 BARAO DE ANTONINA";-;1;-;1;-;1;-;-;-;1;-;-;4
"350510 BARBOSA";-;-;2;-;-;1;2;-;1;1;1;-;8
"350520 BARIRI";11;19;8;7;8;18;9;16;12;23;11;9;151
"350530 BARRA BONITA";16;13;10;13;22;18;21;30;22;14;20;16;215
"350535 BARRA DO CHAPEU";3;-;-;-;-;-;1;1;-;-;1;-;6
"350540 BARRA DO TURVO";4;1;1;3;2;9;6;6;4;4;4;5;49
"350550 BARRETOS";60;79;54;75;87;77;75;89;87;72;76;78;909
"350560 BARRINHA";3;4;4;1;2;7;3;6;-;2;4;2;38
"350570 BARUERI";95;86;85;99;100;100;118;92;88;89;82;91;1125
"350580 BASTOS";4;6;3;4;5;4;4;4;8;5;5;9;61
"350590 BATATAIS";10;20;17;24;23;26;22;29;23;25;12;29;260
"350600 BAURU";174;149;160;183;209;208;206;187;201;186;161;167;2191
"350610 BEBEDOURO";21;30;41;25;41;54;30;30;43;34;42;34;425
"350620 BENTO DE ABREU";-;-;2;-;-;-;1;-;-;-;-;-;3
"350630 BERNARDINO DE CAMPOS";8;4;4;4;4;4;6;7;2;3;2;5;53
"350635 BERTIOGA";14;16;16;15;15;22;16;13;17;25;13;15;197
"350640 BILAC";3;1;5;3;-;3;3;2;3;2;3;-;28
"350650 BIRIGUI";30;25;35;25;35;25;35;36;34;31;26;25;362
"350660 BIRITIBA-MIRIM";3;2;4;3;7;4;2;2;2;3;3;7;42
"350670 BOA ESPERANCA DO SUL";2;5;3;3;5;6;-;3;4;2;2;5;40
"350680 BOCAINA";2;4;3;1;4;1;-;2;1;3;1;2;24
"350690 BOFETE";2;2;4;3;-;1;3;4;1;3;1;4;28
"350700 BOITUVA";10;14;17;19;8;17;19;12;14;11;11;14;166
"350710 BOM JESUS DOS PERDOES";3;5;5;4;4;5;4;1;4;4;5;5;49
"350715 BOM SUCESSO DE ITARARE";3;-;3;2;-;-;-;-;4;-;-;2;14
"350720 BORA";-;-;-;-;-;-;-;-;-;1;-;-;1
"350730 BORACEIA";1;-;1;1;-;1;-;-;-;1;-;-;5
"350740 BORBOREMA";7;4;1;8;3;5;6;9;4;3;5;4;59
"350745 BOREBI";-;-;-;-;1;1;-;-;-;-;-;-;2
"350750 BOTUCATU";81;79;96;74;84;103;99;86;90;88;78;99;1057
"350760 BRAGANCA PAULISTA";82;94;67;92;109;119;113;107;81;105;86;77;1132
"350770 BRAUNA";2;-;-;2;-;-;1;1;-;-;-;1;7
"350775 BREJO ALEGRE";-;-;1;-;-;-;2;1;3;-;-;2;9
"350780 BRODOWSKI";4;3;3;2;8;5;5;4;4;6;4;3;51
"350790 BROTAS";11;8;5;-;3;9;10;7;4;9;6;4;76
"350800 BURI";7;4;3;7;7;3;5;6;2;1;5;5;55
"350810 BURITAMA";5;5;3;2;3;4;4;7;5;6;9;5;58
"350820 BURITIZAL";-;-;-;-;-;-;-;1;1;-;1;-;3
